2026-01-12T16:52:14.706+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] skFlowManagementSystemBackendApplication : Starting TaskFlowManagementSystemBackendApplication using Java 21.0.6 with PID 28636 (D:\SOFT\workstation\Java\任務.工作流程管理系統\TaskFlow Management System backend\TaskFlowManagementSystem-backend\target\classes started by USER in D:\SOFT\workstation\Java\任務.工作流程管理系統\TaskFlow Management System backend\TaskFlowManagementSystem-backend)
2026-01-12T16:52:14.707+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] skFlowManagementSystemBackendApplication : Running with Spring Boot v4.0.1, Spring v7.0.2
2026-01-12T16:52:14.708+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] skFlowManagementSystemBackendApplication : No active profile set, falling back to 1 default profile: "default"
2026-01-12T16:52:14.708+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.example.demo.TaskFlowManagementSystemBackendApplication
2026-01-12T16:52:14.737+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/D:/SOFT/workstation/Java/任務.工作流程管理系統/TaskFlow%20Management%20System%20backend/TaskFlowManagementSystem-backend/target/classes/]
2026-01-12T16:52:14.738+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2026-01-12T16:52:14.738+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2026-01-12T16:52:14.738+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-01-12T16:52:14.738+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-01-12T16:52:14.739+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.server.servlet.context.AnnotationConfigServletWebServerApplicationContext@228f216b
2026-01-12T16:52:14.750+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-01-12T16:52:14.759+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-01-12T16:52:15.190+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-12T16:52:15.191+08:00  INFO 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-12T16:52:15.196+08:00 DEBUG 28636 --- [TaskFlowManagementSystem-backend] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
